"y","B_CHILD_AGE_0_2","B_CHILD_AGE_11_15","B_CHILD_AGE_3_5","B_CHILD_AGE_6_10","B_FEMALE","B_MALE","B_TRT_LaundryPG","B_TRT_LaundrySwitched","CNT_CL","CNT_IV","D_CI_Beauty_Beauty","D_CI_Beauty_Hair","D_CI_Beauty_Skin","D_CI_Concept_Inspiration","D_CI_Concept_Seasonal","D_CI_Concept_Welcome","D_CI_Engage_Contest","D_CI_Engage_Feedback","D_CI_Engage_Sample","D_CI_Engage_Value","D_CI_FamRelation_Family","D_CI_FamRelation_Postnatal","D_CI_Home_Cooking","D_CI_Home_FabricCare","D_CI_Home_Home","D_CI_Wellness_Health","D_HR_BRD_Ace","D_HR_BRD_Febreze","D_HR_BRD_HeadShoulders","D_HR_BRD_Lenor","D_HR_BRD_MrPropre","D_HR_BRD_OralB","D_HR_BRD_Pampers","D_HR_BRD_Swiffer","N_AGE","N_TRT_CentreELeclerc","N_TRT_IntermarcheSuper","N_TRT_Laundry_Competitor","N_TRT_LeaderPrice","N_TRT_Lidl","N_TRT_PetOwner","N_TRT_Redeemer","N_TRT_SuperU","N_TRT_Uexpress"
0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0
0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,47,0,0,2,0,0,0,1,3,0
0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,47,0,0,0,1,0,0,2,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,3,0,2,0,2,1,3
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,7,8,6,1,0,1,2,0,3,0,0,3,1,0,2,0,6,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,1,2,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0
0,1,1,0,0,1,0,0,1,7,3,1,0,0,2,0,0,2,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,3,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0
0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,2,0,0
0,1,0,0,0,0,0,0,0,17,38,0,0,0,0,0,0,0,0,0,6,1,2,1,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,3,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,1,0,0,14,0,0,1,1,3,2,0,2,2,0,5,3,0,1,0,2,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,0,0,3,3,0
0,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2,0,2,3,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
